base_portfolio,activation_threshold,deactivation_threshold,cost_bps,CAGR_no_ted,Sharpe_no_ted,max_drawdown_no_ted,Calmar_no_ted,cagr_delta_pct_points_no_ted,mdd_improvement_pct_points_no_ted,calmar_delta_no_ted,overall_guardrail_pass_no_ted,CAGR_original,Sharpe_original,max_drawdown_original,Calmar_original,cagr_delta_pct_points_original,mdd_improvement_pct_points_original,calmar_delta_original,overall_guardrail_pass_original,CAGR_change_no_ted_minus_original,mdd_change_no_ted_minus_original,calmar_change_no_ted_minus_original,pass_changed
current_45,0.65,0.35,5.0,0.08437958175030946,1.0122070715966878,-0.1922652467834859,0.43887069120365346,-0.26572116486440756,2.8698775060480686,0.044974921780998545,True,0.0845629763905821,0.9756680895759572,-0.1922652467834852,0.439824553866517,-0.2473817008371348,2.869877506048135,0.0459287844438621,True,-0.00018339464027264385,-6.938893903907228e-16,-0.0009538626628635138,False
current_45,0.65,0.35,10.0,0.084143010411035,1.0094273312801143,-0.19278121348027066,0.4364689322782287,-0.27996127110607727,2.8270607210062138,0.043155622980079966,True,0.0843541928001796,0.9733037081445136,-0.1927812134802715,0.4375643833615152,-0.2588430321916135,2.827060721006125,0.0442510740633664,True,-0.00021118238914459575,8.326672684688674e-16,-0.0010954510832865139,False
growth_50,0.65,0.35,0.0,0.08810359254935585,1.0314867532157608,-0.19785093272363907,0.44530289211433827,-0.24500218869425439,2.907662272112743,0.04626094122028357,True,0.0882193507188613,0.9841031992739716,-0.1978509327236396,0.4458879698186063,-0.2334263717437057,2.907662272112688,0.0468460189245515,True,-0.00011575816950545881,5.273559366969494e-16,-0.0005850777042680222,False
growth_50,0.65,0.35,2.0,0.08800963973886744,1.0304147872039966,-0.19805626833942724,0.4443668482536348,-0.25071748209788414,2.8905177623623546,0.04554662495199807,True,0.0881366194830395,0.983198943124374,-0.198056268339427,0.4450079778944021,-0.2380195076806757,2.890517762362377,0.0461877545927654,True,-0.0001269797441720566,-2.498001805406602e-16,-0.0006411296407672906,False
growth_50,0.65,0.35,5.0,0.08786871169473409,1.0288049185996089,-0.19836421494765566,0.442966548769499,-0.25929045778272375,2.864806478183335,0.04447878246735598,True,0.0880125228535715,0.9818411952287148,-0.1983642149476555,0.4436915341650524,-0.24490934189898,2.864806478183346,0.0452037678629094,True,-0.00014381115883740914,-1.6653345369377348e-16,-0.0007249853955534347,False
growth_50,0.65,0.35,10.0,0.08763383474207331,1.0261167094251105,-0.19887730779963053,0.44064270434696684,-0.2735788457961519,2.821968951147258,0.04270867496728148,True,0.0878056957324584,0.9795746609520256,-0.1988773077996293,0.4415068602040987,-0.2563927467576388,2.82196895114738,0.0435728308244133,True,-0.00017186099038508929,-1.2212453270876722e-15,-0.0008641558571318431,False
aggressive_55,0.65,0.35,0.0,0.09550301932186733,1.0626317764105657,-0.19115899851758344,0.499599914534406,-0.23275163803702092,2.934540426535426,0.055932874477428396,True,0.0955165984710841,1.0012500397738258,-0.1911589985175841,0.4996709504224459,-0.2313937231153362,2.934540426535359,0.0560039103654683,True,-1.357914921676362e-05,6.661338147750939e-16,-7.103588803991645e-05,False
aggressive_55,0.65,0.35,2.0,0.09541004995750701,1.0616254065894382,-0.19136616227667191,0.4985732525668033,-0.238529598256898,2.9171839447102887,0.055133368394073456,True,0.0954349099186595,1.0004097997678405,-0.191366162276672,0.4987031603877928,-0.2360436021416445,2.9171839447102776,0.0552632762150629,True,-2.4859961152479126e-05,8.326672684688674e-17,-0.00012990782098948328,False
aggressive_55,0.65,0.35,5.0,0.09527059666913829,1.060114073356167,-0.19167685090474196,0.49703757245305075,-0.24719660175431812,2.8911547273175686,0.053938282127517445,True,0.0953123769691806,0.9991482281739952,-0.1916768509047426,0.4972555450451753,-0.2430185717500865,2.891154727317502,0.054156254719642,True,-4.178030004231559e-05,6.38378239159465e-16,-0.0002179725921245268,False
aggressive_55,0.65,0.35,10.0,0.09503817654023328,1.057590462157006,-0.19219451326902937,0.4944895404334518,-0.2616417763638079,2.8477873780326513,0.05195753355381533,True,0.0951081550610568,0.9970423904674632,-0.1921945132690292,0.4948536430273987,-0.2546439242814502,2.8477873780326624,0.0523216361477623,True,-6.997852082352152e-05,-1.6653345369377348e-16,-0.00036410259394692446,False
